Порядковий номер;ПІБ;Вік;Номер групи
1;Василенко Михайло Андрійович;22;141
2;Сергієнко Олена Андріївна;19;131
3;Сергієнко Костянтин Тарасович;23;161
4;Крамарчук Микола Романович;23;121
5;Пономаренко Леонід Євгенійович;20;141
6;Гнатюк Олексій Сергійович;22;161
7;Шинкаренко Болеслав Володимирович;20;121
8;Романченко Василь Янович;24;131
9;Василенко Вадим Янович;23;121
10;Захарчук Андрій Федорович;19;161
11;Василенко Максим Васильович;22;141
12;Кравченко Ярослав Йосипович;19;121
13;Сергієнко Андрій Федорович;19;121
14;Пономарчук Руслан Миколайович;22;161
15;Антоненко Вадим Романович;19;131
16;Таращук Сергій Романович;23;141
17;Захарчук Артур Романович;24;131
18;Антоненко Bіктор Сергійович;19;121
19;Іванченко Борис Янович;23;161
20;Середа Ярослав Миколайович;22;131
21;Кравченко Болеслав Янович;22;141
